date,selected_return,selected_alpha,best_return,best_alpha,selected_stocks,risk_power,fold,train_fraction
2025-11-27,0.0098056455771964,0.003285103988167952,0.1393439481382289,0.13282340654920047,"601728,600941,600900,001965,601816",0.75,3,0.8
2025-11-28,0.01805649388247928,0.02045786726868155,0.12084683819745254,0.12324821158365482,"601728,600900,600025,001965,600018",0.75,3,0.8
2025-12-01,0.0023658037934582207,0.0019820391093861517,0.13637990239696818,0.1359961377128961,"601728,600900,001965,600025,600941",0.75,3,0.8
2025-12-02,-0.009031899692315472,-0.014693101803424646,0.17016795038326832,0.16450674827215922,"601728,601816,600900,600941,000651",0.75,3,0.8
2025-12-03,-0.012833177577436026,-0.014135938857122379,0.1978212100383298,0.1965184487586435,"601728,600018,600900,601816,000651",0.75,3,0.8
2025-12-04,-0.014732190234349152,-0.023013646921594903,0.13962962476567858,0.1313481680784328,"601728,601816,600900,600941,601006",0.75,3,0.8
2025-12-05,-0.018072843209555493,-0.007720082982626565,0.10109874364543721,0.1114515038723661,"601728,601816,600900,600025,601006",0.75,3,0.8
2025-12-08,-0.013341096038211115,-0.0029304850673679936,0.10133184528452535,0.11174245625536847,"601728,601816,600018,600900,601006",0.75,3,0.8
2025-12-09,-0.009419766485490562,-0.005984722750701667,0.08983381985280373,0.09326886358759263,"601728,601816,600018,601006,600900",0.75,3,0.8
2025-12-10,-0.012883892884508715,0.004305472400900061,0.06776790346826196,0.08495726875367074,"601728,601800,600018,601816,000651",0.75,3,0.8
2025-12-11,-0.007554099973623762,-0.010639879740467414,0.11692415875985795,0.1138383789930143,"601728,601816,600900,600941,601006",0.75,3,0.8
2025-12-12,-0.002085434327771005,-0.00673670633317613,0.11255069982844593,0.10789942782304078,"601728,000651,688009,601607,601800",0.75,3,0.8
2025-12-15,0.0025916969475142763,-0.009237760256631814,0.10125560624645402,0.08942614904230792,"000651,600900,601728,688009,601800",0.75,3,0.8
2025-12-16,-0.003863847384359455,-0.027891546648797665,0.16117985265964532,0.1371521533952071,"600900,000651,601006,601728,600018",0.75,3,0.8
2025-12-17,-0.0029073433341650677,-0.013262877540086556,0.12504859591383063,0.11469306170790916,"000651,601728,600900,601800,601816",0.75,3,0.8
2025-12-18,-0.011205892294971117,-0.02374844353924276,0.16714937383706555,0.15460682259279393,"600900,600018,601728,000651,601816",0.75,3,0.8
2025-12-19,-0.001667195430503869,-0.012246559534358326,0.13165019649722579,0.12107083239337131,"000651,000166,600018,601816,600999",0.75,3,0.8
2025-12-22,0.0031365066484202154,-0.006060675650337102,0.13421316529220045,0.12501598299344313,"601788,600999,000166,000651,600018",0.75,3,0.8
2025-12-23,0.008665388021002711,0.0055208655567008085,0.1247306296617808,0.12158610719747891,"000166,601788,600999,601878,600918",0.75,3,0.8
2025-12-24,0.0023344406411739908,-0.00373094808734016,0.18987609373302633,0.18381070500451221,"000166,601816,000651,601788,600999",0.75,3,0.8
2025-12-25,-0.004576477000073657,-0.008447829416219941,0.22201511925584688,0.2181437668397006,"000166,600999,601901,601788,601878",0.75,3,0.8
2025-12-26,0.006896737060178053,-0.005786274783416131,0.2013305754411736,0.1886475635975794,"600061,601878,600999,601788,688009",0.75,3,0.8
2025-12-29,0.033140813864005414,-0.006036642645304213,0.28949304316928715,0.25031558665997744,"600061,688009,000166,601800,600999",0.75,3,0.8
2025-12-30,0.018755868041689695,-0.007933709670910921,0.21623914726001647,0.18954956954741584,"600061,601788,601901,601878,601881",0.75,3,0.8
2025-12-31,0.015537105915990246,-0.008651946201093308,0.18652378598778685,0.1623347338707033,"001391,600061,601788,601881,601800",0.75,3,0.8
2026-01-05,0.0010682707611581045,-0.022047222809567397,0.26898628951986814,0.24587079594914263,"600061,601881,600999,600030,601236",0.75,3,0.8
2026-01-06,-0.016032215763198715,-0.033017312270179136,0.33691780599820104,0.31993270949122066,"000651,600061,600999,600030,000166",0.75,3,0.8
2026-01-07,0.0026969622496430348,-0.010949327887663118,0.28087621334635365,0.26722992320904754,"601881,600061,000651,601390,601236",0.75,3,0.8
2026-01-08,-0.008615122912791446,-0.015315635886070133,0.29788535061278554,0.29118483763950687,"601788,601881,600061,601236,000876",0.75,3,0.8
2026-01-09,-0.005097226062927904,-0.006972584040132806,0.15755084491155366,0.15567548693434877,"601607,000651,603288,600918,601901",0.75,3,0.8
2026-01-12,-0.04040238273578413,-0.02174484905033986,0.14529327042293788,0.16395080410838214,"600061,600918,601881,601390,601236",0.75,3,0.8
2026-01-13,-0.02916891489980017,-0.024773788917986407,0.16472058585351856,0.16911571183533233,"000876,601800,601881,600061,601788",0.75,3,0.8
2026-01-14,-0.01968287017898808,-0.020372345914491725,0.17852480851780125,0.17783533278229763,"000876,601788,600918,601881,601236",0.75,3,0.8
2026-01-15,-0.017714921287166025,-0.01747426223380374,0.24527348206655786,0.24551414111992015,"601236,000876,601881,601788,600061",0.75,3,0.8
2026-01-16,0.0013165051347456603,-0.010228389825088047,0.23088526246201785,0.21934036750218416,"601881,000651,601236,600918,601788",0.75,3,0.8
2026-01-19,-0.009768312894262447,-0.016283971687800047,0.20747854666233687,0.20096288786879923,"603288,601788,600918,601881,601878",0.75,3,0.8
2025-11-21,-0.00732903725329455,-0.013254942777446776,0.11785704134556185,0.11193113582140964,"000895,600009,600941,601728,600900",1.0,3,0.8
2025-11-24,-0.005933670103754274,-0.017700156897053752,0.1303122304229981,0.11854574362969865,"601728,600900,000895,600941,000001",1.0,3,0.8
2025-11-25,-0.0028945359881229473,-0.018815882509629588,0.16662404332449848,0.1507026968029918,"601728,600900,000001,600941,000895",1.0,3,0.8
2025-11-26,-0.0024874973915577567,-0.01119997777779602,0.12757185260789394,0.11885937222165568,"601728,600941,600900,000001,600377",1.0,3,0.8
2025-11-27,0.010638381731166375,0.004117840142137925,0.1393439481382289,0.13282340654920047,"601728,600941,600900,601816,000895",1.0,3,0.8
2025-11-28,0.013106615165196515,0.015507988551398785,0.12084683819745254,0.12324821158365482,"601728,600900,600018,600941,001965",1.0,3,0.8
